GOterm	Definition	Ontology_source
GO:0015351	Catalysis of the transfer of bilirubin from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0015349	Enables the transfer of thyroid hormones from one side of the membrane to the other. Thyroid hormone are any of the compounds secreted by the thyroid gland, largely thyroxine and triiodothyronine.	molecular_function
GO:0015347	Catalysis of the transfer of organic anions from one side of a membrane to the other, in a sodium independent manner.	molecular_function
GO:0015344	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: siderophore-iron(ferrioxamine)(out) + H+(out) = siderophore-iron(ferrioxamine)(in) + H+(in).	molecular_function
GO:0015343	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: siderophore-iron(out) + H+(out) = siderophore-iron(in) + H+(in).	molecular_function
GO:0015341	Catalysis of the transfer of a zinc ion or zinc ions from the inside of the cell to the outside of the cell across a membrane: Zn2+(out) = Zn2+(in). The activity is driven by proton motive force.	molecular_function
GO:0015330	Catalysis of the high affinity transfer of glutamine from one side of the membrane to the other. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0015328	Catalysis of the transfer of cystine from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0015324	Catalysis of the transfer of peptide-acetyl-CoA from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0015322	Catalysis of the transfer of an oligopeptide or oligopeptides from one side of the membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction.	molecular_function
GO:0015321	Enables the transfer of phosphate (PO4 3-) ions from one side of a membrane to the other, requiring sodium ions.	molecular_function
GO:0015318	Enables the transfer of an inorganic solute from the outside of a cell to the inside of the cell across a membrane.	molecular_function
GO:0015291	Catalysis of the transfer of a solute from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy, not direct ATP coupling. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0015238	Enables the directed movement of a drug from one side of a membrane to the other. A drug is any naturally occurring or synthetic substance, other than a nutrient, that, when administered or applied to an organism, affects the structure or functioning of the organism; in particular, any such substance used in the diagnosis, prevention, or treatment of disease.	molecular_function
GO:0015234	Enables the transfer of thiamine from one side of the membrane to the other. Thiamine is vitamin B1, a water soluble vitamin present in fresh vegetables and meats, especially liver.	molecular_function
GO:0015233	Enables the directed movement of pantothenate across a membrane. Pantothenate is the anion of pantothenic acid, the amide of beta-alanine and pantoic acid; it is a B complex vitamin that is a constituent of coenzyme A and is distributed ubiquitously in foods.	molecular_function
GO:0015230	Enables the directed movement of flavin-adenine dinucleotide (FAD) across a membrane into, out of or within a cell, or between cells. FAD forms the coenzyme of the prosthetic group of various flavoprotein oxidoreductase enzymes, in which it functions as an electron acceptor by being reversibly converted to its reduced form.	molecular_function
GO:0015228	Enables the directed movement of coenzyme A across a membrane into, out of or within a cell, or between cells. Coenzyme A, 3'-phosphoadenosine-(5')diphospho(4')pantatheine, is an acyl carrier in many acylation and acyl-transfer reactions in which the intermediate is a thiol ester.	molecular_function
GO:0090539	The directed movement of a peptide pheromone across a membrane and out of a cell.	biological_process
GO:0090518	The directed movement of L-arginine into the vacuole across the vacuolar membrane.	biological_process
GO:0090517	The directed movement of L-lysine into the vacuole across the vacuolar membrane.	biological_process
GO:0090516	The directed movement of L-serine into the vacuole across the vacuolar membrane.	biological_process
GO:0090515	The directed movement of L-glutamate into the vacuole across the vacuolar membrane.	biological_process
GO:0090514	The directed movement of L-tyrosine into the vacuole across the vacuolar membrane.	biological_process
GO:0090513	The directed movement of L-histidine into the vacuole across the vacuolar membrane.	biological_process
GO:0090482	Enables the transfer of a vitamin from one side of a membrane to the other.	molecular_function
GO:0090481	The directed movement of pyrimidine nucleotide-sugars across a membrane. Pyrimidine nucleotide-sugars are pyrimidine nucleotides in glycosidic linkage with a monosaccharide or monosaccharide derivative.	biological_process
GO:0090480	The directed movement of a purine nucleotide-sugar across a membrane. Purine nucleotide-sugars are purine nucleotides in glycosidic linkage with a monosaccharide or monosaccharide derivative.	biological_process
GO:0090458	The directed movement of arginine into the vacuole across the vacuolar membrane.	biological_process
GO:0090457	The directed movement of histidine into the vacuole across the vacuolar membrane.	biological_process
GO:0090456	The directed movement of lysine into the vacuole across the vacuolar membrane.	biological_process
GO:0090455	The directed movement of ornithine into the vacuole across the vacuolar membrane.	biological_process
GO:0090454	The directed movement of glutamate into the vacuole across the vacuolar membrane.	biological_process
GO:0090453	The directed movement of aspartate into the vacuole across the vacuolar membrane.	biological_process
GO:0009977	Catalysis of the transfer of proteins from one side of the membrane to the other. Transportation is dependent on pH gradient across the membrane.	molecular_function
GO:2001150	Any process that activates or increases the frequency, rate or extent of dipeptide transmembrane transport.	biological_process
GO:0090101	Any process that decreases the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand.	biological_process
GO:0090100	Any process that increases the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand.	biological_process
GO:0035350	The process in which flavin-adenine dinucleotide (FAD) is transported from one side of a membrane to the other by means of some agent such as a transporter or pore. FAD forms the coenzyme of the prosthetic group of various flavoprotein oxidoreductase enzymes, in which it functions as an electron acceptor by being reversibly converted to its reduced form.	biological_process
GO:0035351	The process in which heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring, is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0035352	The process in which nicotinamide adenine dinucleotide is transported from one side of a membrane to the other by means of some agent such as a transporter or pore; transport may be of either the oxidized form, NAD, or the reduced form, NADH.	biological_process
GO:0035353	The process in which nicotinamide mononucleotide is transported from one side of a membrane to the other by means of some agent such as a transporter or pore. Nicotinamide mononucleotide is a ribonucleotide in which the nitrogenous base, nicotinamide, is in beta-n-glycosidic linkage with the c-1 position of d-ribose. It is a constituent of NAD and NADP.	biological_process
GO:0035430	Any process that modulates the frequency, rate or extent of the directed movement of a gluconate across a membrane by means of some agent such as a transporter or pore.	biological_process
GO:0035431	Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of gluconate across a membrane by means of some agent such as a transporter or pore.	biological_process
GO:0035432	Any process that activates or increases the frequency, rate or extent of the directed movement of gluconate across a membrane by means of some agent such as a transporter or pore.	biological_process
GO:0035433	The directed movement of acetate across a membrane by means of some agent such as a transporter or pore. Acetate is the 2-carbon carboxylic acid ethanoic acid.	biological_process
GO:0035434	The directed movement of copper cation across a membrane.	biological_process
GO:0035435	The directed movement of phosphate across a membrane by means of some agent such as a transporter or pore.	biological_process
GO:0035436	The directed movement of triose phosphate across a membrane by means of some agent such as a transporter or pore. Triose phosphate is any organic three carbon compound phosphate ester.	biological_process
GO:0035443	The directed movement of a tripeptide across a membrane by means of some agent such as a transporter or pore. A tripeptide is a compound containing three amino acids linked together by peptide bonds.	biological_process
GO:0090676	A process in which a calcium ion is transported from one side of a membrane to the other by means of a low voltage-gated calcium channel.	biological_process
GO:0090662	The transport of molecules across a membrane and against an electrochemical gradient, using energy from ATP hydrolysis.	biological_process
GO:0044749	The directed, high-affinity movement of zinc (Zn II) ions across a membrane into a cell or organelle. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	biological_process
GO:0008320	Enables the transfer of a protein from one side of a membrane to the other.	molecular_function
GO:0034634	Enables the directed movement of glutathione, the tripeptide glutamylcysteinylglycine, across a membrane into, out of or within a cell, or between cells.	molecular_function
GO:0034658	Enables the transfer of isopropylmalate from one side of the membrane to the other.	molecular_function
GO:0009885	Combining with a cytokinin and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-histidine = ADP + a protein-L-histidine phosphate.	molecular_function
GO:0009784	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-histidine = ADP + a protein-L-histidine phosphate.	molecular_function
GO:0075155	Any process in which the symbiont organism stops, prevents, or reduces the frequency, rate or extent of its symbiont transmembrane receptor-mediated signal transduction as a result of detecting molecules of its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075154	Any process in which the symbiont organism activates, maintains or increases the frequency, rate or extent of its transmembrane receptor-mediated signal transduction as a result of detecting molecules of its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075153	Any process in which the symbiont organism modulates the frequency, rate or extent of its transmembrane receptor-mediated signal transduction as a result of detecting molecules of its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075117	Any process in which the symbiont stops, prevents, or reduces the frequency, rate or extent of host transmembrane receptor-mediated cAMP signal transduction. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075116	Any process in which the symbiont activates, maintains or increases the frequency, rate or extent of host transmembrane receptor-mediated cAMP signal transduction. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075115	Any process in which the symbiont modulates the frequency, rate or extent of host transmembrane receptor-mediated cAMP signal transduction. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075114	Any process in which the symbiont stops, prevents, or reduces the frequency, rate or extent of transmembrane receptor-mediated signal transduction in the host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075113	Any process in which the symbiont activates, maintains or increases the frequency, rate or extent of transmembrane receptor-mediated signal transduction in the host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075112	Any process in which the symbiont modulates the frequency, rate or extent of transmembrane receptor-mediated signal transduction in the host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075085	Any process in which the host organism activates, maintains or increases the frequency, rate or extent of transmembrane receptor-mediated cAMP signal transduction in the symbiont organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075084	Any process in which the host organism modulates the frequency, rate or extent of transmembrane receptor-mediated cAMP signal transduction in the symbiont. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075083	Any process in which the host organism stops, prevents, or reduces the frequency, rate or extent of transmembrane receptor-mediated signal transduction in the symbiont. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075082	Any process in which the host organism activates, maintains or increases the frequency, rate or extent of transmembrane receptor-mediated signal transduction in the symbiont. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075081	Any process in which the host organism modulates the frequency, rate or extent of transmembrane receptor-mediated signal transduction in the symbiont. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:1901718	A regulation of transcription from RNA polymerase II promoter that results in regulation of dipeptide transmembrane transport.	biological_process
GO:1901702	Enables the transfer of salt from one side of the membrane to the other.	molecular_function
GO:1901684	The directed movement of arsenate ion across a membrane.	biological_process
GO:1901683	Enables the transfer of an arsenate ion from one side of the membrane to the other.	molecular_function
GO:1901682	Enables the transfer of a sulfur compound from one side of the membrane to the other.	molecular_function
GO:1901680	Catalysis of the transfer of sulfur-containing amino acid from one side of the membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:1901679	The directed movement of nucleotide across a membrane.	biological_process
GO:1901677	Enables the transfer of phosphate from one side of the membrane to the other.	molecular_function
GO:1901642	The directed movement of nucleoside across a membrane.	biological_process
GO:1901604	Enables the transfer of dethiobiotin from one side of the membrane to the other.	molecular_function
GO:1901603	Enables the transfer of biotin from one side of the membrane to the other.	molecular_function
GO:0015546	Enables the directed movement of sulfathiazole across a membrane. Sulfathiazole is an antibacterial agent of the sulfonamide group.	molecular_function
GO:1901584	Enables the transfer of tetrapeptide from one side of the membrane to the other.	molecular_function
GO:1901583	The directed movement of tetrapeptide across a membrane.	biological_process
GO:1901553	The directed movement of malonic acid across a membrane.	biological_process
GO:1901549	Enables the transfer of malonic acid from the outside of a cell to the inside across a membrane.	molecular_function
GO:1901515	Enables the transfer of poly-beta-1,6-N-acetyl-D-glucosamine from one side of the membrane to the other.	molecular_function
GO:1901514	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + lipo-chitin oligosaccharide(in) = ADP + phosphate + lipo-chitin oligosaccharide(out).	molecular_function
GO:1901513	Enables the transfer of lipo-chitin oligosaccharide from one side of the membrane to the other.	molecular_function
GO:1901479	Enables the transfer of benomyl from one side of the membrane to the other.	molecular_function
GO:1901478	Enables the transfer of amitrole from one side of the membrane to the other.	molecular_function
GO:1901477	The directed movement of benomyl across a membrane.	biological_process
GO:1901474	Enables the transfer of azole from one side of the membrane to the other.	molecular_function
GO:1901381	Any process that activates or increases the frequency, rate or extent of potassium ion transmembrane transport.	biological_process
GO:1901380	Any process that stops, prevents or reduces the frequency, rate or extent of potassium ion transmembrane transport.	biological_process
GO:1901379	Any process that modulates the frequency, rate or extent of potassium ion transmembrane transport.	biological_process
GO:1901375	Enables the transfer of an acetate ester from one side of the membrane to the other.	molecular_function
GO:1901368	Enables the transfer of NAD from one side of the membrane to the other.	molecular_function
GO:1901243	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + methionine(in) = ADP + phosphate + methionine(out).	molecular_function
GO:1901242	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + doxorubicin(in) = ADP + phosphate + doxorubicin(out).	molecular_function
GO:1901239	Enables the transfer of malonate(1-) from one side of the membrane to the other.	molecular_function
GO:1901238	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + tungstate(in) = ADP + phosphate + tungstate(out).	molecular_function
GO:1901237	Enables the transfer of tungstate from one side of the membrane to the other.	molecular_function
GO:1901236	Enables the transfer of 4-(trimethylammonio)butanoate from one side of the membrane to the other.	molecular_function
GO:1901235	Enables the transfer of (R)-carnitine from one side of the membrane to the other.	molecular_function
GO:1901975	The directed movement of glycerate across a membrane.	biological_process
GO:1901974	Enables the transfer of glycerate from one side of the membrane to the other.	molecular_function
GO:1901962	The directed movement of S-adenosyl-L-methionine across a membrane.	biological_process
GO:1902047	The directed movement of a polyamine macromolecule across a membrane.	biological_process
GO:1901019	Any process that modulates the frequency, rate or extent of calcium ion transmembrane transporter activity.	biological_process
GO:1901018	Any process that activates or increases the frequency, rate or extent of potassium ion transmembrane transporter activity.	biological_process
GO:1901017	Any process that stops, prevents or reduces the frequency, rate or extent of potassium ion transmembrane transporter activity.	biological_process
GO:1901016	Any process that modulates the frequency, rate or extent of potassium ion transmembrane transporter activity.	biological_process
GO:0046873	Enables the transfer of metal ions from one side of a membrane to the other.	molecular_function
GO:0031928	Enables the directed movement of pyridoxine across a membrane into, out of or within a cell, or between cells. Pyridoxine, 2-methyl-3-hydroxy-4,5-bis(hydroxymethyl)pyridine, is one of the vitamin B6 compounds. Pyridoxal, pyridoxamine and pyridoxine are collectively known as vitamin B6, and are efficiently converted to the biologically active form of vitamin B6, pyridoxal phosphate.	molecular_function
GO:0031927	Enables the directed movement of pyridoxamine into, out of or within a cell, or between cells. Pyridoxamine, 4-(aminomethyl)-5-(hydroxymethyl)-2-methylpyridin-3-ol, is one of the vitamin B6 compounds. Pyridoxal, pyridoxamine and pyridoxine are collectively known as vitamin B6, and are efficiently converted to the biologically active form of vitamin B6, pyridoxal phosphate.	molecular_function
GO:0031926	Enables the directed movement of pyridoxal phosphate into, out of or within a cell, or between cells; pyridoxal phosphate is pyridoxal phosphorylated at the hydroxymethyl group of C-5, and is the active form of vitamin B6.	molecular_function
GO:0031925	Enables the directed movement of pyridoxal across a membrane into, out of or within a cell, or between cells. Pyridoxal, 3-hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxaldehyde, is one of the vitamin B6 compounds. Pyridoxal, pyridoxamine and pyridoxine are collectively known as vitamin B6, and are efficiently converted to the biologically active form of vitamin B6, pyridoxal phosphate.	molecular_function
GO:0046943	Enables the transfer of carboxylic acids from one side of the membrane to the other. Carboxylic acids are organic acids containing one or more carboxyl (COOH) groups or anions (COO-).	molecular_function
GO:0046583	Catalysis of the transfer of a cation or cations from the inside of the cell to the outside of the cell across a membrane.	molecular_function
GO:1904082	The directed movement of pyrimidine nucleobase across a membrane.	biological_process
GO:1904064	Any process that activates or increases the frequency, rate or extent of cation transmembrane transport.	biological_process
GO:1904063	Any process that stops, prevents or reduces the frequency, rate or extent of cation transmembrane transport.	biological_process
GO:1904062	Any process that modulates the frequency, rate or extent of cation transmembrane transport.	biological_process
GO:0015216	Enables the transfer of a purine nucleotide, any compound consisting of a purine nucleoside esterified with (ortho)phosphate, from one side of a membrane to the other.	molecular_function
GO:0015218	Enables the transfer of a pyrimidine nucleotide, any compound consisting of a pyrimidine nucleoside esterified with (ortho)phosphate, from one side of a membrane to the other.	molecular_function
GO:2000688	Any process that activates or increases the frequency, rate or extent of rubidium ion transmembrane transporter activity.	biological_process
GO:2000687	Any process that stops, prevents or reduces the frequency, rate or extent of rubidium ion transmembrane transporter activity.	biological_process
GO:2000686	Any process that modulates the frequency, rate or extent of rubidium ion transmembrane transporter activity.	biological_process
GO:2000651	Any process that activates or increases the frequency, rate or extent of sodium ion transmembrane transporter activity.	biological_process
GO:2000650	Any process that stops, prevents or reduces the frequency, rate or extent of sodium ion transmembrane transporter activity.	biological_process
GO:2000649	Any process that modulates the frequency, rate or extent of sodium ion transmembrane transporter activity.	biological_process
GO:1904213	Any process that stops, prevents or reduces the frequency, rate or extent of iodide transmembrane transport.	biological_process
GO:1904212	Any process that modulates the frequency, rate or extent of iodide transmembrane transport.	biological_process
GO:1904200	The directed movement of iodide across a membrane.	biological_process
GO:0015117	Enables the transfer of thiosulfate ions, S2O3(2-), from one side of a membrane to the other.	molecular_function
GO:1904983	The directed movement of glycine across a membrane from cytosol to mitochondrion.	biological_process
GO:1904982	The directed movement of sucrose across a membrane.	biological_process
GO:1904981	The directed movement of maltose across a membrane.	biological_process
GO:1904919	The directed movement of L-cystine across a membrane from lysosomal lumen to cytosol.	biological_process
GO:1904918	The directed movement of L-histidine across a membrane from lysosomal lumen to cytosol.	biological_process
GO:1904917	The directed movement of L-arginine across a membrane from lysosomal lumen to cytosol.	biological_process
GO:1904916	The directed movement of L-lysine across a membrane from lysosomal lumen to cytosol.	biological_process
GO:1904879	Any process that activates or increases the frequency, rate or extent of calcium ion transmembrane transport via high voltage-gated calcium channel.	biological_process
GO:1904878	Any process that stops, prevents or reduces the frequency, rate or extent of calcium ion transmembrane transport via high voltage-gated calcium channel.	biological_process
GO:1904823	The directed movement of purine nucleobase across a membrane.	biological_process
GO:1904680	Catalysis of the transfer of peptide from one side of the membrane to the other.	molecular_function
GO:1904659	The directed movement of glucose across a membrane.	biological_process
GO:2000187	Any process that activates or increases the frequency, rate or extent of phosphate transmembrane transport.	biological_process
GO:2000186	Any process that stops, prevents, or reduces the frequency, rate or extent of phosphate transmembrane transport.	biological_process
GO:2000185	Any process that modulates the frequency, rate or extent of phosphate transmembrane transport.	biological_process
GO:0034762	Any process that modulates the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other.	biological_process
GO:0034761	Any process that activates or increases the frequency, rate or extent of the directed movement of iron ions from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0034760	Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of iron ions from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0061577	A process in which a calcium ion is transported from one side of a membrane to the other by means of a high voltage-gated calcium channel.	biological_process
GO:0061486	Catalysis of the transfer of fructose from one side of a membrane to the other. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0061459	Enables the stereospecific transfer of L-arginine, 2-amino-5-guanidinopentanoic acid, across a biological membrane.	molecular_function
GO:0008028	Enables the transfer of monocarboxylic acids from one side of the membrane to the other. A monocarboxylic acid is an organic acid with one COOH group.	molecular_function
GO:0015405	Primary active transport of a solute across a membrane, driven by the hydrolysis of the diphosphate bond of inorganic pyrophosphate, ATP, or another nucleoside triphosphate. The transport protein may or may not be transiently phosphorylated, but the substrate is not phosphorylated. Primary active transport is catalysis of the transport of a solute across a membrane, up the solute's concentration gradient, by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction and is driven by a primary energy source.	molecular_function
GO:0015414	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + nitrate(out) = ADP + phosphate + nitrate(in).	molecular_function
GO:0015453	Primary active transport of a solute across a membrane, driven by exothermic flow of electrons from a reduced substrate to an oxidized substrate. Primary active transport is catalysis of the transport of a solute across a membrane, up the solute's concentration gradient, by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction and is driven by a primary energy source.	molecular_function
